1,"17"" 5-Spoke Painted Aluminum Wheels"
2,4-Wheel Disc Brakes
3,6 Speakers
4,6-Speaker Audio System Feature
5,ABS brakes
6,AM/FM radio: SiriusXM
7,Air Conditioning
8,Automatic temperature control
9,Brake assist
10,Bumpers: body-color
11,CD player
12,Compass
13,Delay-off headlights
14,Driver door bin
15,Driver vanity mirror
16,Dual front impact airbags
17,Dual front side impact airbags
18,Electronic Stability Control
19,Emergency communication system
20,Front Bucket Seats
21,Front Center Armrest
22,Front anti-roll bar
23,Front reading lights
24,Front wheel independent suspension
25,Fully automatic headlights
26,Garage door transmitter
27,Heated door mirrors
28,Illuminated entry
29,Knee airbag
30,Low tire pressure warning
31,MP3 decoder
32,Occupant sensing airbag
33,Outside temperature display
34,Overhead airbag
35,Overhead console
36,Panic alarm
37,Passenger door bin
38,Passenger vanity mirror
39,Power door mirrors
40,Power steering
41,Power windows
42,Premiun cloth seat trim
43,Premium audio system: MyLink
44,Radio: Chevrolet MyLink AM/FM Stereo w/CD Player
45,Rear reading lights
46,Rear window defroster
47,Remote keyless entry
48,SIRIUSXM Satellite Radio
49,Security system
50,Speed control
51,Speed-sensing steering
52,Spoiler
53,Steering wheel mounted audio controls
54,Telescoping steering wheel
55,Tilt steering wheel
56,Traction control
57,Trip computer
58,Turn signal indicator mirrors
59,Variably intermittent wipers
60,Stolen vehicle locator
