1,Black,#000000,Black,#000000,190,26998,Hatchback,2017 Ford Focus SEL Hatchback,2 Wheel drive-front,4- Cylinder,6-Speed Shiftable Automatic,Flexible Fuel,51 City/ 48 Highway,4E6HW1,VJLZJYOR9ST43ELQ8,AT-1CF131e1,"3 Years/36,000 Miles","5 Years/60,000 Miles",5 Years/Unlimited Miles,2 Years/Unlimited Miles,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec convallis id erat non interdum. Curabitur varius, ligula ac pellentesque sodales, elit metus lacinia magna, eu auctor justo magna et quam. Sed id suscipit est. Quisque libero ipsum, auctor id tellus vel, malesuada volutpat ante. Curabitur vitae tellus orci. Nulla ultrices nisi eget sem imperdiet, vitae aliquam risus aliquet. Maecenas euismod ac velit consequat mattis. Donec justo leo, condimentum euismod nunc vitae, consequat suscipit ex. Vivamus a hendrerit magna. Donec facilisis tempus dictum. Curabitur consequat facilisis quam eget vestibulum. Sed id consequat arcu. Ut accumsan blandit arcu porta sodales. Donec eget placerat turpis. Orci varius natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Fusce consectetur dignissim sapien, quis cursus purus egestas sit amet.",kelleybbimg.png
2,Darkgray,#A9A9A9,Beige,#F5F5DC,15583,19321,Hatchback,2015 Chevrolet Volt Premium,2 Wheel drive-front,Hybrid,Continously Variable Automatic,Hybrid Gas/Electric,25 City/ 36 Highway,ZAFMPC,QXYN5RQ3MI24I40CZ,AT-1CF913n8,"3 Years/36,000 Miles","5 Years/100,000 Miles","3 Years/36,000 Miles","5 Years/100,000 Miles","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec convallis id erat non interdum. Curabitur varius, ligula ac pellentesque sodales, elit metus lacinia magna, eu auctor justo magna et quam. Sed id suscipit est. Quisque libero ipsum, auctor id tellus vel, malesuada volutpat ante. Curabitur vitae tellus orci. Nulla ultrices nisi eget sem imperdiet, vitae aliquam risus aliquet. Maecenas euismod ac velit consequat mattis. Donec justo leo, condimentum euismod nunc vitae, consequat suscipit ex. Vivamus a hendrerit magna. Donec facilisis tempus dictum. Curabitur consequat facilisis quam eget vestibulum. Sed id consequat arcu. Ut accumsan blandit arcu porta sodales. Donec eget placerat turpis. Orci varius natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Fusce consectetur dignissim sapien, quis cursus purus egestas sit amet.",kelleybbimg.png
3,White,#FFFFF4,Black,#000000,27665,18772,Hatchback,2015 Toyota Prius ,2 Wheel drive-front,Hybrid,Continously Variable Automatic,Hybrid Gas/Electric,30 City/ 39 Highway,D4XBLO,UDKN7CFRCGJ0TTHN4,AT-1CF675h6,"3 Years/36,000 Miles","5 Years/60,000 Miles",5 Years/Unlimited Miles,2 Years/Unlimited Miles,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec convallis id erat non interdum. Curabitur varius, ligula ac pellentesque sodales, elit metus lacinia magna, eu auctor justo magna et quam. Sed id suscipit est. Quisque libero ipsum, auctor id tellus vel, malesuada volutpat ante. Curabitur vitae tellus orci. Nulla ultrices nisi eget sem imperdiet, vitae aliquam risus aliquet. Maecenas euismod ac velit consequat mattis. Donec justo leo, condimentum euismod nunc vitae, consequat suscipit ex. Vivamus a hendrerit magna. Donec facilisis tempus dictum. Curabitur consequat facilisis quam eget vestibulum. Sed id consequat arcu. Ut accumsan blandit arcu porta sodales. Donec eget placerat turpis. Orci varius natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Fusce consectetur dignissim sapien, quis cursus purus egestas sit amet.",kelleybbimg.png
4,White,#FFFFF4,Black,#000000,25102,17995,Coupe,2018 Ford Mustang Coupe,2 Wheel drive- rear,4- Cylinder Turbo,Automatic,Gasoline,36 City/ 34 Highway,OHAAHI,ITH6N6EQTU5SP9WX2,AT-1CF105C4,"3 Years/36,000 Miles","5 Years/60,000 Miles",5 Years/Unlimited Miles,2 Years/Unlimited Miles,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec convallis id erat non interdum. Curabitur varius, ligula ac pellentesque sodales, elit metus lacinia magna, eu auctor justo magna et quam. Sed id suscipit est. Quisque libero ipsum, auctor id tellus vel, malesuada volutpat ante. Curabitur vitae tellus orci. Nulla ultrices nisi eget sem imperdiet, vitae aliquam risus aliquet. Maecenas euismod ac velit consequat mattis. Donec justo leo, condimentum euismod nunc vitae, consequat suscipit ex. Vivamus a hendrerit magna. Donec facilisis tempus dictum. Curabitur consequat facilisis quam eget vestibulum. Sed id consequat arcu. Ut accumsan blandit arcu porta sodales. Donec eget placerat turpis. Orci varius natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Fusce consectetur dignissim sapien, quis cursus purus egestas sit amet.",kelleybbimg.png
5,Black,#000000,Darkgray,#A9A9A9,28960,19500,Hatchback,2015 Toyota Prius ,2 Wheel drive-front,Hybrid,Continously Variable Automatic,Hybrid Gas/Electric,51 City/ 48 Highway,P9EVPQ,AG11FB4MNKYJNV0Z6,AT-1CF605H9,"3 Years/36,000 Miles","5 Years/60,000 Miles",5 Years/Unlimited Miles,2 Years/Unlimited Miles,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec convallis id erat non interdum. Curabitur varius, ligula ac pellentesque sodales, elit metus lacinia magna, eu auctor justo magna et quam. Sed id suscipit est. Quisque libero ipsum, auctor id tellus vel, malesuada volutpat ante. Curabitur vitae tellus orci. Nulla ultrices nisi eget sem imperdiet, vitae aliquam risus aliquet. Maecenas euismod ac velit consequat mattis. Donec justo leo, condimentum euismod nunc vitae, consequat suscipit ex. Vivamus a hendrerit magna. Donec facilisis tempus dictum. Curabitur consequat facilisis quam eget vestibulum. Sed id consequat arcu. Ut accumsan blandit arcu porta sodales. Donec eget placerat turpis. Orci varius natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Fusce consectetur dignissim sapien, quis cursus purus egestas sit amet.",kelleybbimg.png
6,Gold,#B57919,Black,#000000,9100,23851,Sedan,2016 Chevrolet Cruze Limited LT Sedan,2 Wheel drive- front,4- Cylinder Turbo,6- Speed Shiftable Automatic,Gasoline,26 City/ 36 Highway,FJ43CB,VA76O6MNAFX4HDKN3,AT-1CF446B1,"3 Years/36,000 Miles","5 Years/60,000 Miles","3 Years/36,000 Miles","5 Years/60,000 Miles","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec convallis id erat non interdum. Curabitur varius, ligula ac pellentesque sodales, elit metus lacinia magna, eu auctor justo magna et quam. Sed id suscipit est. Quisque libero ipsum, auctor id tellus vel, malesuada volutpat ante. Curabitur vitae tellus orci. Nulla ultrices nisi eget sem imperdiet, vitae aliquam risus aliquet. Maecenas euismod ac velit consequat mattis. Donec justo leo, condimentum euismod nunc vitae, consequat suscipit ex. Vivamus a hendrerit magna. Donec facilisis tempus dictum. Curabitur consequat facilisis quam eget vestibulum. Sed id consequat arcu. Ut accumsan blandit arcu porta sodales. Donec eget placerat turpis. Orci varius natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Fusce consectetur dignissim sapien, quis cursus purus egestas sit amet.",kelleybbimg.png
7,White,#FFFFF4,Black,#000000,27384,18369,Hatchback,2017 Ford Focus SEL Hatchback,2 Wheel drive-front,4- Cylinder,6-Speed Shiftable Automatic,Flexible Fuel,51 City/ 48 Highway,8360RD,C3GQX3NQ1ZYGQAVMN,AT-1CF820G8,"3 Years/36,000 Miles","5 Years/60,000 Miles",5 Years/Unlimited Miles,2 Years/Unlimited Miles,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec convallis id erat non interdum. Curabitur varius, ligula ac pellentesque sodales, elit metus lacinia magna, eu auctor justo magna et quam. Sed id suscipit est. Quisque libero ipsum, auctor id tellus vel, malesuada volutpat ante. Curabitur vitae tellus orci. Nulla ultrices nisi eget sem imperdiet, vitae aliquam risus aliquet. Maecenas euismod ac velit consequat mattis. Donec justo leo, condimentum euismod nunc vitae, consequat suscipit ex. Vivamus a hendrerit magna. Donec facilisis tempus dictum. Curabitur consequat facilisis quam eget vestibulum. Sed id consequat arcu. Ut accumsan blandit arcu porta sodales. Donec eget placerat turpis. Orci varius natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Fusce consectetur dignissim sapien, quis cursus purus egestas sit amet.",kelleybbimg.png
8,Darkgray,#A9A9A9,Beige,#F5F5DC,27667,21994,Sedan,2015 Chevrolet Malibu LS,2 Wheel drive-front,4-Cylinder,6-Speed Shiftable Automatic,Gasoline,35 City/ 40 Highway,GZOG7X,GEDIFUZ9KL71UPC8D,AT-1CF419K2,"3 Years/36,000 Miles","5 Years/100,000 Miles","3 Years/36,000 Miles","7 Years/100,000 Miles","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec convallis id erat non interdum. Curabitur varius, ligula ac pellentesque sodales, elit metus lacinia magna, eu auctor justo magna et quam. Sed id suscipit est. Quisque libero ipsum, auctor id tellus vel, malesuada volutpat ante. Curabitur vitae tellus orci. Nulla ultrices nisi eget sem imperdiet, vitae aliquam risus aliquet. Maecenas euismod ac velit consequat mattis. Donec justo leo, condimentum euismod nunc vitae, consequat suscipit ex. Vivamus a hendrerit magna. Donec facilisis tempus dictum. Curabitur consequat facilisis quam eget vestibulum. Sed id consequat arcu. Ut accumsan blandit arcu porta sodales. Donec eget placerat turpis. Orci varius natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Fusce consectetur dignissim sapien, quis cursus purus egestas sit amet.",kelleybbimg.png
9,Darkgray,#A9A9A9,Black,#000000,41743,12795,Sedan,2015 Chevrolet Malibu LS,2 Wheel drive-front,4-Cylinder,6-Speed Shiftable Automatic,Gasoline,25 City/ 36 Highway,C6QFL0,CJCFDNIVSSRDUN9FE,AT-1CF167J7,"3 Years/36,000 Miles","5 Years/100,000 Miles","3 Years/36,000 Miles","5 Years/100,000 Miles","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec convallis id erat non interdum. Curabitur varius, ligula ac pellentesque sodales, elit metus lacinia magna, eu auctor justo magna et quam. Sed id suscipit est. Quisque libero ipsum, auctor id tellus vel, malesuada volutpat ante. Curabitur vitae tellus orci. Nulla ultrices nisi eget sem imperdiet, vitae aliquam risus aliquet. Maecenas euismod ac velit consequat mattis. Donec justo leo, condimentum euismod nunc vitae, consequat suscipit ex. Vivamus a hendrerit magna. Donec facilisis tempus dictum. Curabitur consequat facilisis quam eget vestibulum. Sed id consequat arcu. Ut accumsan blandit arcu porta sodales. Donec eget placerat turpis. Orci varius natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Fusce consectetur dignissim sapien, quis cursus purus egestas sit amet.",kelleybbimg.png
10,Gold,#B57919,Darkgray,#A9A9A9,29331,18735,Coupe,2018 Ford Mustang Coupe,2 Wheel drive- rear,4- Cylinder Turbo,Automatic,Gasoline,36 City/ 34 Highway,NSB91I,95CULFHYNRCQZ5CLE,AT-1CF893v2,"3 Years/36,000 Miles","5 Years/60,000 Miles",5 Years/Unlimited Miles,2 Years/Unlimited Miles,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec convallis id erat non interdum. Curabitur varius, ligula ac pellentesque sodales, elit metus lacinia magna, eu auctor justo magna et quam. Sed id suscipit est. Quisque libero ipsum, auctor id tellus vel, malesuada volutpat ante. Curabitur vitae tellus orci. Nulla ultrices nisi eget sem imperdiet, vitae aliquam risus aliquet. Maecenas euismod ac velit consequat mattis. Donec justo leo, condimentum euismod nunc vitae, consequat suscipit ex. Vivamus a hendrerit magna. Donec facilisis tempus dictum. Curabitur consequat facilisis quam eget vestibulum. Sed id consequat arcu. Ut accumsan blandit arcu porta sodales. Donec eget placerat turpis. Orci varius natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Fusce consectetur dignissim sapien, quis cursus purus egestas sit amet.",kelleybbimg.png
11,Gold,#B57919,Black,#000000,6846,17596,Hatchback,2015 Toyota Prius ,2 Wheel drive-front,Hybrid,Continously Variable Automatic,Hybrid Gas/Electric,30 City/ 39 Highway,T0QM3S,99OGJU13O14VR9SFO,AT-1CF329a4,"3 Years/36,000 Miles","5 Years/60,000 Miles",5 Years/Unlimited Miles,2 Years/Unlimited Miles,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec convallis id erat non interdum. Curabitur varius, ligula ac pellentesque sodales, elit metus lacinia magna, eu auctor justo magna et quam. Sed id suscipit est. Quisque libero ipsum, auctor id tellus vel, malesuada volutpat ante. Curabitur vitae tellus orci. Nulla ultrices nisi eget sem imperdiet, vitae aliquam risus aliquet. Maecenas euismod ac velit consequat mattis. Donec justo leo, condimentum euismod nunc vitae, consequat suscipit ex. Vivamus a hendrerit magna. Donec facilisis tempus dictum. Curabitur consequat facilisis quam eget vestibulum. Sed id consequat arcu. Ut accumsan blandit arcu porta sodales. Donec eget placerat turpis. Orci varius natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Fusce consectetur dignissim sapien, quis cursus purus egestas sit amet.",kelleybbimg.png
12,Black,#000000,Black,#000000,1047,24958,Sedan,2014 Honda Accord Sport Sedan,2 Wheel drive-front,4- Cylinder,Continously Variable Automatic,Gasoline,26 City/ 38 Highway,6697B6,VW2419QSVKRIYGFA6,AT-1CF767K4,"3 Years/36,000 Miles","5 Years/60,000 Miles","3 Years/36,000 Miles","5 Years/60,000 Miles","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec convallis id erat non interdum. Curabitur varius, ligula ac pellentesque sodales, elit metus lacinia magna, eu auctor justo magna et quam. Sed id suscipit est. Quisque libero ipsum, auctor id tellus vel, malesuada volutpat ante. Curabitur vitae tellus orci. Nulla ultrices nisi eget sem imperdiet, vitae aliquam risus aliquet. Maecenas euismod ac velit consequat mattis. Donec justo leo, condimentum euismod nunc vitae, consequat suscipit ex. Vivamus a hendrerit magna. Donec facilisis tempus dictum. Curabitur consequat facilisis quam eget vestibulum. Sed id consequat arcu. Ut accumsan blandit arcu porta sodales. Donec eget placerat turpis. Orci varius natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Fusce consectetur dignissim sapien, quis cursus purus egestas sit amet.",kelleybbimg.png
13,Dark Blue,#00007F,Darkgray,#A9A9A9,15934,20179,Coupe,2018 Ford Mustang Coupe,2 Wheel drive- rear,4- Cylinder Turbo,Automatic,Gasoline,36 City/ 34 Highway,D0OQ9G,MHPCW3NBSMPX3M32S,AT-1CF319T9,"3 Years/36,000 Miles","5 Years/60,000 Miles",5 Years/Unlimited Miles,2 Years/Unlimited Miles,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec convallis id erat non interdum. Curabitur varius, ligula ac pellentesque sodales, elit metus lacinia magna, eu auctor justo magna et quam. Sed id suscipit est. Quisque libero ipsum, auctor id tellus vel, malesuada volutpat ante. Curabitur vitae tellus orci. Nulla ultrices nisi eget sem imperdiet, vitae aliquam risus aliquet. Maecenas euismod ac velit consequat mattis. Donec justo leo, condimentum euismod nunc vitae, consequat suscipit ex. Vivamus a hendrerit magna. Donec facilisis tempus dictum. Curabitur consequat facilisis quam eget vestibulum. Sed id consequat arcu. Ut accumsan blandit arcu porta sodales. Donec eget placerat turpis. Orci varius natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Fusce consectetur dignissim sapien, quis cursus purus egestas sit amet.",kelleybbimg.png
